,Fechas,Red Neuronal,XGBoost,ARIMA,Precios
100,2023-01-01,67.927536,55.831806,488.9964490224876,73.2
101,2023-02-01,120.83322,91.30241,502.25697050686904,135.51
102,2023-03-01,90.72377,78.76291,514.9539477704999,92.07
103,2023-04-01,73.81181,71.977715,527.1113302552717,74.34
104,2023-05-01,77.24898,75.99943,538.7520496022613,74.35
105,2023-06-01,98.556015,81.401985,549.8980629061211,93.85
106,2023-07-01,104.29652,83.257195,560.5703941312485,91.21
107,2023-08-01,87.14371,51.941387,570.7891737678549,80.23
